H16_B1715	YPO2303
H16_A0940	YPO1199
H16_B0626	YPO3365
H16_B0627	YPO3366
H16_A0942	YPO1199
H16_B1714	YPO2302
H16_A0943	YPO1198
H16_B1951	YPO1332
H16_B1951	YPO2846
H16_A0947	YPO0946
H16_B0981	YPO2844
H16_A0948	YPO0945
H16_B0982	YPO1290
H16_A3095	YPO2675
H16_B1829	YPO1332
H16_B1829	YPO2846
H16_B0618	YPO0024
H16_B0977	YPO0006
H16_A0811	YPO1073
H16_A0932	YPO1441
H16_B1945	YPO3971
H16_A0812	YPO1072
H16_B0612	YPO3980
H16_A0817	YPO2147
H16_A3082	YPO3400
H16_A3084	YPO3401
H16_A3087	YPO1773
H16_A0603	YPO3118
H16_A0604	YPO1400
H16_A2905	YPO3099
H16_A0606	YPO1396
H16_A2907	YPO3861
H16_A2909	YPO3862
H16_A0953	YPO0040
H16_A0955	YPO0038
H16_B1965	YPO0145
H16_B1960	YPO1166
H16_B0824	YPO0914
H16_A0904	YPO1395
H16_A3171	YPO3659
H16_A3170	YPO3660
H16_A3294	YPO3999
H16_A3172	YPO3658
H16_A3295	YPO4000
H16_A3056	YPO1641
H16_A2088	YPO1050
H16_A2088	YPO2816
H16_B0819	YPO0059
H16_A3049	YPO0047
H16_A3048	YPO0048
H16_B1904	YPO1599
H16_A3161	YPO0246
H16_A3042	YPO2829
H16_A3045	YPO0474
H16_A3288	YPO2074
H16_A3167	YPO3519
H16_A3046	YPO0475
H16_B0809	YPO0465
H16_B1939	YPO1166
H16_B1813	YPO4078
H16_B1810	YPO2514
H16_B1810	YPO2612
H16_B1810	YPO2777
H16_A0802	YPO2174
H16_A0803	YPO0654
H16_A0804	YPO0058
H16_B0720	YPO4002
H16_A0807	YPO3011
H16_A0808	YPO2957
H16_A3077	YPO2828
H16_B0716	YPO3999
H16_B0717	YPO4000
H16_B0954	YPO2736
H16_B0834	YPO0253
H16_B0952	YPO2734
H16_B0953	YPO2735
H16_A0914	YPO3032
H16_A0915	YPO3729
H16_A0918	YPO2827
H16_A3061	YPO3760
H16_A2098	YPO4001
H16_A3258	YPO3430
H16_A3136	YPO3221
H16_A3139	YPO2610
H16_A2049	YPO1048
H16_A1071	YPO3164
H16_A1072	YPO3165
H16_A3131	YPO2302
H16_A1073	YPO3166
H16_A2042	YPO1057
H16_A1074	YPO3167
H16_A3372	YPO2773
H16_A2044	YPO1055
H16_A2043	YPO1056
H16_A3253	YPO3513
H16_A2045	YPO1054
H16_A3247	YPO0565
H16_A3246	YPO1068
H16_A3128	YPO2303
H16_A3249	YPO3222
H16_A2038	YPO2409
H16_A3129	YPO3403
PHG417	YPO0921
PHG414	YPO1617
H16_B2072	YPO0465
PHG418	YPO0922
H16_A1061	YPO2545
H16_A2394	YPO3868
H16_A2030	YPO2871
H16_A1185	YPO3377
H16_A1186	YPO2021
H16_A3124	YPO1636
H16_A1188	YPO3376
H16_A3159	YPO3837
H16_A3038	YPO1127
H16_A3037	YPO3424
H16_A2069	YPO3053
H16_A3279	YPO0549
PHG420	YPO0926
H16_A3272	YPO0556
H16_A3271	YPO0557
H16_A3153	YPO3034
H16_A3031	YPO0477
H16_A3273	YPO0555
H16_A3276	YPO0552
H16_A2066	YPO1041
H16_A3155	YPO3179
PHG423	YPO0155
H16_A3154	YPO3180
PHG422	YPO3520
H16_A3278	YPO0550
H16_A3036	YPO2710
H16_A3277	YPO0551
H16_A3027	YPO3805
H16_A3026	YPO3804
H16_A3147	YPO0926
H16_A3029	YPO3807
H16_A3028	YPO3806
H16_A2051	YPO1049
H16_A3261	YPO2167
H16_A2053	YPO1046
H16_A3141	YPO0480
H16_A3025	YPO1962
H16_A3146	YPO2157
H16_A3266	YPO0561
H16_A1035	YPO2293
H16_A2246	YPO3623
H16_A1158	YPO2896
H16_A2247	YPO3015
H16_A2368	YPO2883
H16_A3699	YPO0241
H16_A3578	YPO3243
H16_A3339	YPO2016
H16_B1076	YPO3286
H16_B2165	YPO3854
H16_B2285	YPO0158
H16_B1195	YPO1502
H16_B2162	YPO1075
H16_B2040	YPO3804
H16_B1194	YPO1501
H16_A0181	YPO1152
H16_A1151	YPO1410
H16_A1151	YPO0322
H16_A0183	YPO1151
H16_A2363	YPO2878
H16_A2242	YPO3627
H16_A2244	YPO3625
H16_A3453	YPO3771
