ids	RSBA7	RSBDBR229	RSCFB2957	RSGMI1000	RSK60	RSMOLK2	RSPSI07	RSPSS4	RSR24	RSRUN2340	RSUW551
R_3OAR100	1	1	1	1	1	1	1	1	1	1	1
R_3OAR120	1	1	1	1	1	1	1	1	1	1	1
R_3OAR121	1	1	1	1	1	1	1	1	1	1	1
R_3OAR140	1	1	1	1	1	1	1	1	1	1	1
R_3OAR141	1	1	1	1	1	1	1	1	1	1	1
R_3OAR160	1	1	1	1	1	1	1	1	1	1	1
R_3OAR161	1	1	1	1	1	1	1	1	1	1	1
R_3OAR180	1	1	1	1	1	1	1	1	1	1	1
R_3OAR181	1	1	1	1	1	1	1	1	1	1	1
R_3OAR40	1	1	1	1	1	1	1	1	1	1	1
R_3OAR60	1	1	1	1	1	1	1	1	1	1	1
R_3OAR80	1	1	1	1	1	1	1	1	1	1	1
R_3OAS100	1	1	1	1	1	1	1	1	1	1	1
R_3OAS120	1	1	1	1	1	1	1	1	1	1	1
R_3OAS121	1	1	1	1	1	1	1	1	1	1	1
R_3OAS140	1	1	1	1	1	1	1	1	1	1	1
R_3OAS141	1	1	1	1	1	1	1	1	1	1	1
R_3OAS160	1	1	1	1	1	1	1	1	1	1	1
R_3OAS161	1	1	1	1	1	1	1	1	1	1	1
R_3OAS180	1	1	1	1	1	1	1	1	1	1	1
R_3OAS181	1	1	1	1	1	1	1	1	1	1	1
R_3OAS60	1	1	1	1	1	1	1	1	1	1	1
R_3OAS80	1	1	1	1	1	1	1	1	1	1	1
R_3OHPAMES	1	1	1	1	1	1	1	1	1	1	1
R_3OHPAMEStex	1	1	1	1	1	1	1	1	1	1	1
R_3OHPAMEStpp	1	1	1	1	1	1	1	1	1	1	1
R_3OOCHSLACtex	1	1	1	1	1	1	1	1	1	1	1
R_3OOCTAtex	1	1	1	1	1	1	1	1	1	1	1
R_3OXCOAT	1	1	1	1	1	1	1	1	1	1	1
R_3PEPTabcpp	1	1	1	1	1	1	1	1	1	1	1
