STM2556	XFCFBP8418_014590
STM1347	XFCFBP8418_014390
STM0134	XFCFBP8418_011190
STM1469	XFCFBP8418_002100
STM1349	XFCFBP8418_022440
STM3526	XFCFBP8418_020700
STM2318	XFCFBP8418_025620
STM0372	XFCFBP8418_019180
STM3407	XFCFBP8418_009950
STM0130	XFCFBP8418_011240
STM1901	XFCFBP8418_016880
STM4175	XFCFBP8418_001040
STM3086	XFCFBP8418_015380
STM3880	XFCFBP8418_016360
STM3880	XFCFBP8418_027690
STM3880	XFCFBP8418_000330
STM2670	XFCFBP8418_014390
STM4055	XFCFBP8418_000530
STM4055	XFCFBP8418_012590
STM4176	XFCFBP8418_001030
STM2430	XFCFBP8418_010980
STM1341	XFCFBP8418_016490
STM1341	XFCFBP8418_027830
STM0137	XFCFBP8418_007820
STM2555	XFCFBP8418_009820
STM3401	XFCFBP8418_006320
STM3885	XFCFBP8418_008660
STM0863	XFCFBP8418_020420
STM0984	XFCFBP8418_024530
STM0067	XFCFBP8418_023960
STM0985	XFCFBP8418_024520
STM1711	XFCFBP8418_001170
STM0066	XFCFBP8418_023970
STM1712	XFCFBP8418_025940
STM0988	XFCFBP8418_019240
STM0183	XFCFBP8418_026570
STM0182	XFCFBP8418_026560
STM2927	XFCFBP8418_010630
STM0181	XFCFBP8418_026550
STM2929	XFCFBP8418_022190
STM0180	XFCFBP8418_026540
STM3330	XFCFBP8418_013360
STM2362	XFCFBP8418_000770
STM2483	XFCFBP8418_015120
STM3331	XFCFBP8418_013350
STM2365	XFCFBP8418_000740
STM1155	XFCFBP8418_015020
STM0980	XFCFBP8418_004870
STM2366	XFCFBP8418_003020
STM2489	XFCFBP8418_009670
STM2930	XFCFBP8418_022200
STM3469	XFCFBP8418_026740
STM3901	XFCFBP8418_017900
STM1724	XFCFBP8418_026730
STM0998	XFCFBP8418_014480
STM2934	XFCFBP8418_002680
STM1725	XFCFBP8418_026720
STM2935	XFCFBP8418_002690
STM1726	XFCFBP8418_003830
STM0758	XFCFBP8418_010570
STM3904	XFCFBP8418_014980
STM0190	XFCFBP8418_010420
STM0637	XFCFBP8418_020420
STM2252	XFCFBP8418_005070
STM2253	XFCFBP8418_005060
STM2254	XFCFBP8418_005050
STM3103	XFCFBP8418_002620
STM3468	XFCFBP8418_003360
STM3316	XFCFBP8418_003480
STM0047	XFCFBP8418_004670
STM3315	XFCFBP8418_003470
STM0046	XFCFBP8418_004680
STM1259	XFCFBP8418_021130
STM0045	XFCFBP8418_004690
STM0963	XFCFBP8418_020870
STM0165	XFCFBP8418_002270
