PP_5412	RSc3316
PP_5411	RSc0177
PP_2145	RSc1068
PP_1298	RSp0933
PP_1298	RSc2259
PP_1294	RSc1332
PP_1293	RSc1331
PP_1292	RSc0560
PP_5414	RSc3318
PP_5413	RSc3317
PP_5415	RSc3319
PP_5418	RSc3322
PP_5417	RSc3321
PP_5419	RSc3323
PP_4570	RSc1877
PP_4571	RSc0917
PP_3002	RSc2777
PP_3003	RSp1397
PP_1025	RSp0322
PP_1024	RSp1190
PP_3446	RSc0449
PP_4779	RSp0214
PP_4301	RSp1448
PP_4784	RSc0666
PP_4300	RSp1449
PP_2123	RSc1330
PP_0186	RSc2357
PP_1032	RSc1431
PP_1031	RSc1429
PP_0184	RSc2363
PP_1037	RSc1722
PP_4545	RSp0194
PP_4305	RSc1336
PP_2368	RSc1154
PP_3457	RSc1038
PP_4549	RSc2857
PP_4550	RSc2857
PP_2371	RSc2425
PP_2130	RSc0977
PP_2130	RSc2291
PP_4794	RSc2744
PP_2375	RSc0294
PP_1009	RSc2749
PP_0158	RSc0756
PP_0399	RSc0681
PP_0156	RSc2730
PP_0156	RSp0949
PP_0155	RSp0954
PP_0155	RSp0951
PP_0155	RSc2733
PP_2334	RSp0122
PP_2334	RSc2000
PP_2335	RSp0121
PP_3666	RSp0536
PP_4998	RSc0678
PP_2336	RSp0120
PP_3425	RSp1112
PP_4997	RSc0677
PP_3668	RSc0775
PP_3426	RSp1113
PP_4757	RSc1079
PP_2338	RSc2002
PP_4999	RSc0679
PP_2339	RSp0332
PP_1496	RSc1028
PP_1254	RSc0702
PP_1011	RSp1557
PP_1494	RSp0400
PP_1494	RSp0398
PP_1494	RSp1524
PP_1010	RSp1560
PP_1251	RSp0814
PP_1019	RSp1632
PP_1018	RSc2140
PP_1018	RSc1267
PP_0169	RSc0746
PP_1256	RSp0827
PP_3433	RSc3103
PP_2589	RSc3128
PP_2589	RSc2110
PP_2590	RSp0414
PP_2351	RSc1518
PP_2112	RSc2003
PP_1023	RSp1558
PP_1022	RSp1559
PP_1226	RSc0738
PP_2554	RSp1400
PP_4976	RSc0093
PP_4735	RSc0981
PP_4977	RSc0091
PP_3648	RSc2249
PP_2318	RSc1717
PP_3410	RSp0620
PP_1231	RSc2449
PP_0383	RSc1881
PP_1471	RSc1328
PP_1470	RSc1327
PP_1237	RSc1145
PP_1478	RSc0702
PP_1235	RSc1317
PP_4984	RSc1477
PP_2324	RSc0743
PP_2324	RSc2660
PP_3416	RSc0441
PP_3417	RSp1189
PP_2328	RSc2423
PP_2329	RSc2633
PP_4993	RSc0345
PP_1484	RSc1734
PP_0391	RSc2546
PP_4717	RSc1527
PP_1205	RSc2816
PP_0115	RSp1581
PP_0114	RSc0920
PP_1445	RSp1632
PP_0113	RSc0921
PP_0597	RSc2536
PP_0597	RSp1055
PP_0112	RSc0922
PP_0112	RSc3386
PP_0596	RSp1056
PP_1200	RSp1052
PP_1200	RSc1621
PP_2774	RSp0932
PP_2774	RSc2260
PP_2774	RSc3408
PP_2774	RSc0484
PP_2774	RSc2106
PP_1686	RSc0307
PP_4716	RSc1528
PP_4715	RSc2064
PP_4960	RSc0573
PP_0363	RSc1478
PP_0121	RSc2233
PP_0362	RSc0266
PP_0127	RSp0898
PP_0127	RSc0285
PP_0368	RSc0473
PP_0366	RSc1479
PP_1213	RSc0466
PP_4963	RSc0571
PP_4965	RSc2750
PP_4723	RSc1521
PP_4967	RSc0134
PP_4725	RSc2745
PP_4724	RSc1519
PP_3637	RSc0379
PP_2794	RSc1568
PP_4971	RSc2876
PP_0338	RSc1601
PP_3606	RSc2184
PP_1426	RSc2447
PP_0336	RSc0764
PP_3600	RSp0828
PP_1664	RSc2454
PP_1665	RSc2623
PP_3601	RSp0830
PP_3602	RSp0827
PP_4934	RSc0914
PP_3844	RSc1383
PP_4935	RSc2200
PP_0339	RSc1600
PP_1672	RSp0616
PP_0341	RSc0565
PP_2528	RSc1562
PP_0106	RSc0367
PP_1436	RSc1066
PP_0105	RSc0365
PP_0104	RSc0363
PP_0103	RSc0362
PP_0586	RSc3348
PP_0342	RSc0692
PP_1673	RSp0615
PP_1674	RSp0614
PP_4701	RSc1719
PP_4701	RSc2137
PP_1675	RSc2392
PP_4700	RSc2387
PP_1676	RSc2393
PP_1677	RSc2390
PP_4702	RSc1952
PP_1678	RSc2391
PP_4947	RSc3301
PP_1679	RSc2397
PP_1680	RSc2395
PP_0110	RSc0372
PP_0591	RSc2098
PP_0558	RSc2787
PP_0316	RSp0063
PP_1649	RSc3131
PP_0315	RSp0062
PP_3829	RSp1144
PP_0554	RSc1798
PP_1400	RSp0007
PP_1400	RSp0075
PP_0795	RSc2863
PP_0311	RSp0059
PP_0310	RSp0058
PP_0793	RSc2861
PP_0793	RSp1282
PP_2973	RSc2085
PP_3821	RSp0006
PP_3821	RSc2237
PP_1645	RSc3271
PP_0559	RSc2786
PP_0561	RSc2990
PP_0560	RSc2785
PP_0327	RSc1106
PP_0327	RSp0065
PP_0327	RSc1873
PP_1416	RSc0793
PP_3839	RSc3130
PP_0325	RSp0048
PP_0325	RSc1103
PP_4928	RSc0693
PP_0324	RSp0047
PP_0324	RSc1102
PP_0323	RSp0046
PP_0323	RSc1101
PP_0322	RSc0729
PP_0321	RSc0808
PP_1893	RSc0537
PP_1654	RSc0917
PP_4922	RSc0113
PP_1656	RSc1576
PP_0328	RSp0053
PP_0777	RSc2674
PP_2958	RSc0355
PP_2716	RSp1128
PP_1628	RSc2770
PP_0530	RSp1191
PP_1620	RSc1204
PP_0538	RSc2349
PP_1625	RSp0807
PP_1625	RSc1114
PP_0547	RSc2782
PP_0789	RSc2806
PP_3815	RSc1732
PP_1638	RSc1305
PP_3816	RSc1731
PP_0545	RSc3128
PP_0545	RSc2110
PP_3817	RSc1734
PP_0787	RSc2448
PP_0786	RSc2342
PP_4909	RSc1640
PP_0543	RSc3127
PP_0542	RSc3126
PP_1872	RSc1326
PP_1874	RSc2674
PP_4900	RSc2541
PP_3813	RSc0713
PP_1636	RSc2085
PP_0548	RSc2905
PP_0631	RSc2828
PP_0871	RSc2516
PP_1722	RSp1145
PP_0879	RSc2867
PP_0879	RSc1884
PP_0878	RSc2866
PP_0878	RSc1885
PP_5098	RSc0026
PP_5097	RSc0027
PP_0880	RSc1382
PP_5095	RSc2684
